127.0.0.1 - - [10/Jan/2021:21:32:02 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:05 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:11 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:11 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:11 +0900] "GET /Semi_Project/ HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:11 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/list.pro HTTP/1.1" 200 40701
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201110202006242615.jpeg HTTP/1.1" 200 18674
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/resources/css/product_list.css HTTP/1.1" 200 2552
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201110161834532065.jpg HTTP/1.1" 200 75245
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/2020111011550615274.jpeg HTTP/1.1" 200 55316
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201110114301589503.png HTTP/1.1" 200 227781
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/2020110920244621556.jpg HTTP/1.1" 200 109926
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201109142333731376.jpeg HTTP/1.1" 200 14694
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201109141454609857.jpg HTTP/1.1" 200 38519
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201108200035131433.jpg HTTP/1.1" 200 60698
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "GET /Semi_Project/product_uploadFiles/20201108195813997001.jpg HTTP/1.1" 200 29134
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:14 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:16 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 12497
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:16 +0900] "GET /Semi_Project/resources/css/board_list.css HTTP/1.1" 200 1730
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:16 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:17 +0900] "GET /Semi_Project/groupDetail.do?bnum=4 HTTP/1.1" 200 12399
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:17 +0900] "GET /Semi_Project/group_uploadFiles/202011102027139120.jpg HTTP/1.1" 200 149537
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:17 +0900] "GET /Semi_Project/resources/css/group_detail.css HTTP/1.1" 200 2301
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:18 +0900] "GET /Semi_Project/resources/js/sendMessage.js HTTP/1.1" 200 258
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:18 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:28 +0900] "GET /Semi_Project/myPage.do HTTP/1.1" 200 11453
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:28 +0900] "GET /Semi_Project/resources/css/myPage.css HTTP/1.1" 200 1683
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:28 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:29 +0900] "GET /Semi_Project/buy_list_c.do HTTP/1.1" 200 11225
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:30 +0900] "GET /Semi_Project/resources/css/buy_list.css HTTP/1.1" 200 1705
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:30 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:35 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 12497
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:35 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:36 +0900] "GET /Semi_Project/groupDetail.do?bnum=3 HTTP/1.1" 200 12425
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:37 +0900] "GET /Semi_Project/group_uploadFiles/20201109203347519324.png HTTP/1.1" 200 611887
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:32:37 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:49 +0900] "GET /Semi_Project/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:49 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:49 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:49 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:52 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:52 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:52 +0900] "GET /Semi_Project/ HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:52 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:56 +0900] "GET /Semi_Project/groupWriteForm.do HTTP/1.1" 200 11941
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:56 +0900] "GET /Semi_Project/resources/css/group_write.css HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:56 +0900] "GET /Semi_Project/resources/js/boardFile.js HTTP/1.1" 200 2222
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:33:56 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:09 +0900] "POST /Semi_Project/groupWrite.do HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:11 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:11 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:29 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 13152
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:29 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:31 +0900] "GET /Semi_Project/groupDetail.do?bnum=4 HTTP/1.1" 200 13305
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:31 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:32 +0900] "POST /Semi_Project/updateGroupForm.do HTTP/1.1" 200 12273
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:33 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:46 +0900] "POST /Semi_Project/groupUpdate.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:46 +0900] "GET /Semi_Project/groupList.do?bnum=4 HTTP/1.1" 200 13152
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:46 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:48 +0900] "GET /Semi_Project/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:48 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:48 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:48 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:50 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:52 +0900] "GET /Semi_Project/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:52 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:52 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:52 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:55 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:55 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:55 +0900] "GET /Semi_Project/ HTTP/1.1" 200 9553
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:55 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:57 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 12497
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:57 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:58 +0900] "GET /Semi_Project/groupDetail.do?bnum=4 HTTP/1.1" 200 12648
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:35:58 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:03 +0900] "POST /Semi_Project/applyForm.do HTTP/1.1" 200 275
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:05 +0900] "GET /Semi_Project/myPage.do HTTP/1.1" 200 11453
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:06 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:08 +0900] "GET /Semi_Project/deliveryList.do HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:08 +0900] "GET /Semi_Project/resources/css/my_delivery.css HTTP/1.1" 200 1243
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:08 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:09 +0900] "GET /Semi_Project/updateDeliveryForm.do HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:09 +0900] "GET /Semi_Project/resources/css/updateDelivery.css HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:41 +0900] "POST /Semi_Project/updateAdd.do HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:43 +0900] "GET /Semi_Project/deliveryList.do HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:43 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:36:44 +0900] "GET /Semi_Project/updateDeliveryForm.do HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:37:17 +0900] "POST /Semi_Project/updateAdd.do HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:37:18 +0900] "GET /Semi_Project/deliveryList.do HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:37:18 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:37:37 +0900] "GET /Semi_Project/updateDeliveryForm.do HTTP/1.1" 200 3131
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:05 +0900] "POST /Semi_Project/updateAdd.do HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:06 +0900] "GET /Semi_Project/deliveryList.do HTTP/1.1" 200 11843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:06 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:09 +0900] "GET /Semi_Project/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:09 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:09 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:38:09 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:22 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:22 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:22 +0900] "GET /Semi_Project/ HTTP/1.1" 200 9548
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:22 +0900] "GET /Semi_Project/userProfile_uploadFiles/20201110201803966255.PNG HTTP/1.1" 200 845197
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:22 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:25 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 12492
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:25 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:26 +0900] "GET /Semi_Project/groupDetail.do?bnum=4 HTTP/1.1" 200 12643
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:26 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:28 +0900] "POST /Semi_Project/applyForm.do HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:28 +0900] "GET /Semi_Project/resources/css/apply.css HTTP/1.1" 200 546
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:39:51 +0900] "POST /Semi_Project/applyForm.do HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:42:30 +0900] "POST /Semi_Project/apply.do HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:43:22 +0900] "POST /Semi_Project/applyForm.do HTTP/1.1" 200 5843
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:43:22 +0900] "GET /Semi_Project/favicon.ico HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:43:30 +0900] "POST /Semi_Project/apply.do HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:53:31 +0900] "POST /Semi_Project/applySuccess.do HTTP/1.1" 200 24
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:53:50 +0900] "GET /Semi_Project/myPage.do HTTP/1.1" 200 11449
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:53:50 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:53:53 +0900] "GET /Semi_Project/buy_list_c.do HTTP/1.1" 200 11574
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:53:53 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:57:03 +0900] "GET /Semi_Project/myPage.do HTTP/1.1" 200 11449
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:57:03 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:34 +0900] "GET /Semi_Project/logout.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:34 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:34 +0900] "GET /Semi_Project/ HTTP/1.1" 200 8819
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:34 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:39 +0900] "POST /Semi_Project/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:39 +0900] "GET /Semi_Project HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:39 +0900] "GET /Semi_Project/ HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:39 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:42 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 13152
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:42 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:43 +0900] "GET /Semi_Project/groupDetail.do?bnum=4 HTTP/1.1" 200 12897
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:43 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:48 +0900] "GET /Semi_Project/buy_list_a.do?gNum=4 HTTP/1.1" 200 12023
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:48 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:54 +0900] "GET /Semi_Project/myPage.do HTTP/1.1" 200 12006
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:55 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:55 +0900] "GET /Semi_Project/buy_list_c.do HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:55 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:57 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 13152
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:57 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:58 +0900] "GET /Semi_Project/groupWriteForm.do HTTP/1.1" 200 11941
0:0:0:0:0:0:0:1 - - [10/Jan/2021:21:59:58 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:00:00 +0900] "GET /Semi_Project/groupList.do HTTP/1.1" 200 13152
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:00:00 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:00:02 +0900] "GET /Semi_Project/groupDetail.do?bnum=4 HTTP/1.1" 200 12897
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:00:02 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:00:02 +0900] "GET /Semi_Project/buy_list_a.do?gNum=4 HTTP/1.1" 200 12023
0:0:0:0:0:0:0:1 - - [10/Jan/2021:22:00:02 +0900] "POST /Semi_Project/topOfMonth.do HTTP/1.1" 200 2
